selection,bovada_american,novig_american,4c_american,rebet_american,prophetx_american,book_count,best_book,implied_gap
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218.5|under",-110,,-102,-120,,3,4c,0.0405
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218|under",,,100,-115,,2,4c,0.0349
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|215|over",,,-171,-149,,2,rebet,0.0326
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|215.5|under",,,123,108,,2,4c,0.0323
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|216|under",,,118,104,,2,4c,0.0315
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|216.5|under",,,112,100,,2,4c,0.0283
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|214.5|over",,,-178,-159,,2,rebet,0.0264
"basketball|nba|oklahoma city thunder vs san antonio spurs|moneyline||full_game|na|oklahoma city thunder",105,,113,102,,3,4c,0.0256
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|217|under",,,107,-103,,2,4c,0.0243
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|217.5|under",,,100,-109,,2,4c,0.0215
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218.5|over",-110,,-107,-103,,3,rebet,0.0164
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|216|over",,,-130,-137,,2,4c,0.0128
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|215.5|over",,,-136,-143,,2,4c,0.0122
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|217.5|over",,,-110,-115,,2,4c,0.0111
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|214.5|under",,,113,117,,2,rebet,0.0087
"basketball|nba|oklahoma city thunder vs san antonio spurs|moneyline||full_game|na|san antonio spurs",-125,,-121,-125,,3,4c,0.0080
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|217|over",,,-117,-120,,2,4c,0.0063
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218|over",,,-108,-109,,2,4c,0.0023
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|215|under",,,110,111,,2,rebet,0.0023
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|216.5|over",,,-125,-125,,2,4c,0.0000
