book,market,outcome,offered_prob,fair_prob,edge,reference_books
novig,spread|full_game|8.5,sas,0.3140,0.5395,0.7183,1
novig,spread|full_game|9.5,okc,0.2810,0.4569,0.6261,1
rebet,spread|full_game|6.5,okc,0.3040,0.4818,0.5848,1
novig,spread|full_game|7.5,sas,0.3410,0.5372,0.5754,1
rebet,spread|full_game|6.5,sas,0.3507,0.5182,0.4775,1
rebet,spread|full_game|5.5,okc,0.3330,0.4826,0.4493,1
novig,spread|full_game|6.5,sas,0.3710,0.5356,0.4437,1
rebet,spread|full_game|4.5,okc,0.3608,0.4863,0.3476,1
rebet,spread|full_game|5.5,sas,0.3840,0.5174,0.3474,1
novig,spread|full_game|6.5,okc,0.3450,0.4644,0.3460,1
novig,spread|full_game|5.5,sas,0.4020,0.5356,0.3322,1
novig,spread|full_game|4.5,sas,0.4300,0.5347,0.2436,1
rebet,spread|full_game|4.5,sas,0.4147,0.5137,0.2388,1
novig,spread|full_game|5.5,okc,0.3750,0.4644,0.2385,1
rebet,spread|full_game|3.5,okc,0.3882,0.4787,0.2331,1
rebet,spread|full_game|3.5,sas,0.4440,0.5213,0.1741,1
novig,spread|full_game|3.5,sas,0.4640,0.5336,0.1499,1
rebet,spread|full_game|2.5,okc,0.4193,0.4818,0.1489,1
novig,spread|full_game|4.5,okc,0.4070,0.4653,0.1431,1
rebet,total|full_game|223.5,over,0.3714,0.4108,0.1062,1
novig,spread|full_game|2.5,sas,0.4830,0.5319,0.1012,1
novig,spread|full_game|3.5,okc,0.4260,0.4664,0.0949,1
rebet,spread|full_game|2.5,sas,0.4764,0.5182,0.0878,1
rebet,spread|full_game|1.5,sas,0.5048,0.5430,0.0756,1
novig,spread|full_game|1.5,okc,0.4410,0.4686,0.0626,1
rebet,total|full_game|224.5,over,0.3502,0.3674,0.0490,1
rebet,total|full_game|212.5,under,0.3788,0.3966,0.0470,1
novig,spread|full_game|2.5,okc,0.4490,0.4681,0.0426,1
rebet,total|full_game|213.5,under,0.4014,0.4158,0.0359,1
rebet,total|full_game|219.5,over,0.4604,0.4740,0.0297,1
rebet,spread|full_game|1.5,okc,0.4452,0.4570,0.0265,1
rebet,total|full_game|214.5,under,0.4242,0.4345,0.0243,1
rebet,total|full_game|216.5,over,0.5296,0.5401,0.0199,1
rebet,total|full_game|221.5,over,0.4151,0.4232,0.0195,1
rebet,total|full_game|222.5,over,0.3930,0.3998,0.0172,1
rebet,ml|full_game,sas,0.5299,0.5388,0.0168,1
rebet,total|full_game|217.5,over,0.5064,0.5141,0.0153,1
rebet,total|full_game|215.5,over,0.5527,0.5608,0.0146,1
rebet,total|full_game|220.5,over,0.4376,0.4439,0.0144,1
novig,spread|full_game|1.5,sas,0.5240,0.5314,0.0141,1
novig,ml|full_game,okc,0.4640,0.4701,0.0132,1
novig,total|full_game|223.5,under,0.6210,0.6286,0.0123,1
rebet,total|full_game|218.5,over,0.4833,0.4883,0.0103,1
novig,total|full_game|219.5,under,0.5370,0.5396,0.0049,1
novig,total|full_game|216.5,under,0.4700,0.4704,0.0009,1
